inclination_deg,N,spacing_deg,min_coverage,mean_coverage,full_coverage_time_ratio,mean_overlap_ratio,max_gap_time_min
40.5,28,12.857142857142858,0.7371786951967829,0.7474049826770787,0.0,2.041666851878834,95.50211815557677
40.5,29,12.413793103448276,0.7382158251093778,0.7477515978540166,0.0,2.140929844502498,95.50211815557677
40.5,30,12.0,0.7391513795327548,0.748063309183557,0.0,2.240231694913822,95.50211815557677
40.5,31,11.612903225806452,0.7399981912533994,0.748347101651034,0.0,2.3395537448464347,95.50211815557677
40.5,32,11.25,0.7408296147431487,0.7486039829294661,0.0,2.4389066341387404,95.50211815557677
40.5,33,10.909090909090908,0.7414674530514884,0.7488378504358423,0.0,2.538282450355517,95.50211815557677
40.5,34,10.588235294117647,0.7421070814656798,0.7490514612014388,0.0,2.637678507915327,95.50211815557677
40.5,35,10.285714285714286,0.7426928270291314,0.7492470375061177,0.0,2.7370927556887725,95.50211815557677
40.5,36,10.0,0.7432305724523934,0.7494265025347455,0.0,2.8365235519034324,95.50211815557677
40.5,37,9.72972972972973,0.7437254194853926,0.7495918087661279,0.0,2.9359672687126404,95.50211815557677
40.5,38,9.473684210526315,0.7441818100348792,0.7497441633800881,0.0,3.035424623403914,95.50211815557677
40.5,39,9.23076923076923,0.7446036259323673,0.7498849642921209,0.0,3.1348935199388372,95.50211815557677
40.5,40,9.0,0.7451935242920018,0.7500158051024804,0.0,3.2343775336940257,95.50211815557677
40.5,41,8.78048780487805,0.7453567425217498,0.750136336616835,0.0,3.333861557998914,95.50211815557677
40.5,42,8.571428571428571,0.745693683262004,0.7502487689915115,0.0,3.4333589828423574,95.50211815557677
40.5,43,8.372093023255815,0.7460074351851727,0.7503534918585254,0.0,3.532863816183941,95.50211815557677
40.5,44,8.181818181818182,0.7463000774327233,0.7504511402832981,0.0,3.6323759274385137,95.50211815557677
40.5,45,8.0,0.7465734613356826,0.7505422728304841,0.0,3.7318952952172375,95.50211815557677
40.5,46,7.826086956521739,0.7468292397128009,0.7506277159383126,0.0,3.831418700313724,95.50211815557677
40.5,47,7.659574468085107,0.747068891866808,0.7507076786214939,0.0,3.930948448437052,95.50211815557677
40.5,48,7.5,0.7473770707610548,0.7507828111652548,0.0,4.030485451892506,95.50211815557677
40.5,49,7.346938775510204,0.7475049925266846,0.7508531777797598,0.0,4.130022355604294,95.50211815557677
40.5,50,7.2,0.7477037100624976,0.7509185814215958,0.0,4.229573092074037,95.50211815557677
40.5,51,7.0588235294117645,0.7478908689772605,0.750981908390466,0.0,4.329113045284683,95.50211815557677
40.5,52,6.923076923076923,0.7480673483439914,0.7510407791063907,0.0,4.428663866534886,95.50211815557677
40.5,53,6.7924528301886795,0.7482339452515492,0.7510963585735666,0.0,4.528217995674345,95.50211815557677
40.5,54,6.666666666666667,0.7483913838089679,0.7511488657943318,0.0,4.627775126252193,95.50211815557677
40.5,55,6.545454545454546,0.7485403230171056,0.7511985508536104,0.0,4.727335283798654,95.50211815557677
