event_sample_id,burn_time_seconds,recovery_overhead_hours,degraded_duration_hours
7511,6.402618089061107,1.0,1.0017785050247392
7558,7.257829256624149,1.0,1.0020160636823956
7567,5.121862098124463,1.0,1.0014227394717012
7575,6.145426827981648,1.0,1.0017070630077727
7587,3.4447316054907695,1.0,1.000956869890414
7601,6.404243887090111,1.0,1.0017789566353028
7768,4.274532565886613,1.0,1.0011873701571907
7836,6.041922287729395,1.0,1.0016783117465915
7858,6.785397047699604,1.0,1.00188483251325
7873,3.2996045004149543,1.0,1.0009165568056708
7910,4.539686845030211,1.0,1.0012610241236195
7963,4.834051661672234,1.0,1.0013427921282423
8006,3.854567663212105,1.0,1.0010707132397811
8011,4.081075073030149,1.0,1.0011336319647306
8020,6.3065727266074845,1.0,1.001751825757391
8032,5.685544268077081,1.0,1.0015793178522436
8035,6.905738001500783,1.0,1.0019182605559724
8044,3.7272098996145253,1.0,1.0010353360832263
8103,3.8848219519335814,1.0,1.0010791172088704
8122,3.854967059002945,1.0,1.0010708241830564
8150,5.224111593547853,1.0,1.0014511421093188
8196,4.898666129059226,1.0,1.0013607405914053
8209,6.108527247982121,1.0,1.0016968131244395
8248,4.4001084299882365,1.0,1.0012222523416634
8319,5.331646980710758,1.0,1.0014810130501974
8325,4.563848952378713,1.0,1.0012677358201052
8334,6.68915137793924,1.0,1.0018580976049831
8357,5.294433340652471,1.0,1.001470675927959
8426,3.429473934482541,1.0,1.0009526316484674
8427,3.9133698044203413,1.0,1.0010870471678945
8437,3.967927767464463,1.0,1.001102202157629
8456,6.8567927118203365,1.0,1.0019046646421723
8483,6.459254598070174,1.0,1.0017942373883528
8484,6.503808777017195,1.0,1.0018066135491714
8506,5.55750147901195,1.0,1.0015437504108367
8534,3.890794705183165,1.0,1.0010807763069953
8584,2.7951937554464124,1.0,1.0007764427098462
8625,6.517080959807586,1.0,1.0018103002666132
8642,6.2740430109215595,1.0,1.001742789725256
8712,7.895550035821852,1.0,1.0021932083432838
8730,2.6374923507986203,1.0,1.0007326367641107
8759,4.499136753794986,1.0,1.0012497602093875
8768,6.427539019167838,1.0,1.0017854275053244
8779,7.384711043115999,1.0,1.0020513086230878
8790,5.217046013354931,1.0,1.0014491794481541
8809,4.045680557608389,1.0,1.0011238001548912
8818,9.133203221417574,1.0,1.0025370008948382
8824,4.391273225890302,1.0,1.0012197981183029
8828,4.96272963273956,1.0,1.0013785360090943
8881,3.9167478850203885,1.0,1.0010879855236168
8921,4.821603997588753,1.0,1.0013393344437747
8928,4.170674541364505,1.0,1.0011585207059346
8935,2.9676891071064304,1.0,1.0008243580853073
8937,3.739066685079173,1.0,1.0010386296347442
8952,6.3236533015595064,1.0,1.0017565703615443
8976,8.33513042657179,1.0,1.002315314007381
8986,4.930945786794005,1.0,1.0013697071629983
8994,5.513277688770923,1.0,1.0015314660246586
9057,4.0590057027117155,1.0,1.0011275015840866
9070,3.7406029768209947,1.0,1.0010390563824503
9143,3.4228940691227727,1.0,1.0009508039080897
9155,3.3674868207765662,1.0,1.0009354130057713
9187,3.4133518500398807,1.0,1.0009481532916777
9197,3.30567235125514,1.0,1.000918242319793
9231,4.698675003034669,1.0,1.001305187500843
9241,3.3977591379215966,1.0,1.000943821982756
9313,7.804590553982482,1.0,1.0021679418205507
9325,8.508922963602128,1.0,1.0023635897121117
9349,4.0356723090337,1.0,1.0011210200858427
9368,5.842514487821049,1.0,1.0016229206910614
9513,3.909183314742215,1.0,1.001085884254095
9521,3.739332360242642,1.0,1.0010387034334007
9535,3.8192367711657127,1.0,1.0010608991031016
9548,3.7764860672400147,1.0,1.0010490239075667
9562,3.1229414015395918,1.0,1.0008674837226499
9563,5.14792606021226,1.0,1.00142997946117
9572,3.8389392302467407,1.0,1.0010663720084019
9574,4.57006115894627,1.0,1.0012694614330406
9602,4.964434802373052,1.0,1.0013790096673258
9647,3.3673977003479294,1.0,1.0009353882500966
9648,5.492892714578268,1.0,1.0015258035318273
9671,6.98073962828758,1.0,1.001939094341191
9689,6.299988496783726,1.0,1.0017499968046621
9711,4.559582985963395,1.0,1.0012665508294343
9714,6.455213344074728,1.0,1.0017931148177985
9764,4.10124499819462,1.0,1.0011392347217207
9805,6.140675212534941,1.0,1.001705743114593
9852,6.536787052514814,1.0,1.0018157741812541
9857,6.780137664889541,1.0,1.0018833715735804
9891,3.5660412657262164,1.0,1.0009905670182573
9898,4.174410134717554,1.0,1.0011595583707549
9931,4.421489879673413,1.0,1.0012281916332426
9947,5.544990772858505,1.0,1.001540275214683
9983,3.3665911195265963,1.0,1.0009351641998685
10020,6.068242014307579,1.0,1.001685622781752
10027,8.58572967758624,1.0,1.0023849249104406
10101,4.4661314940873,1.0,1.001240592081691
10102,7.148325678548595,1.0,1.001985646021819
10129,4.436270795102626,1.0,1.001232297443084
10145,8.06436833582751,1.0,1.0022401023155076
10164,2.9903472209555915,1.0,1.000830652005821
10188,3.5205882959590262,1.0,1.000977941193322
10198,5.41680413458403,1.0,1.0015046678151622
10246,3.8167854289756775,1.0,1.0010602181747155
10251,7.957817871357609,1.0,1.002210504964266
10294,6.284803035228315,1.0,1.0017457786208968
10303,5.062679412521831,1.0,1.0014062998368116
10347,6.722081639057986,1.0,1.0018672448997383
10361,5.478341609391091,1.0,1.0015217615581642
10378,5.2005038188343455,1.0,1.0014445843941207
10545,3.856230915927661,1.0,1.0010711752544244
10547,4.040615321054997,1.0,1.0011223931447375
10559,3.4645038413177787,1.0,1.0009623621781438
10605,7.310633002994749,1.0,1.0020307313897208
10640,4.193266471810109,1.0,1.0011647962421695
10657,7.733231573063026,1.0,1.0021481198814064
10670,4.941898876384521,1.0,1.0013727496878846
10699,4.892655783086308,1.0,1.0013590710508573
10715,3.63447086358315,1.0,1.0010095752398842
10739,6.794638706995837,1.0,1.0018873996408322
10772,3.5063347299155723,1.0,1.000973981869421
10827,6.068832297121407,1.0,1.0016857867492004
10841,4.6044591915493704,1.0,1.001279016442097
10842,5.34354973574116,1.0,1.0014843193710392
10888,5.161248917269834,1.0,1.0014336802547972
10903,5.3449210689145765,1.0,1.0014847002969207
10958,6.576106084709732,1.0,1.0018266961346416
10979,3.2819236117266115,1.0,1.0009116454477018
11034,8.246648358200392,1.0,1.0022907356550557
11066,8.003873169605491,1.0,1.0022232981026682
11079,3.6984349609762823,1.0,1.0010273430447156
11089,5.982111030703052,1.0,1.0016616975085286
11130,5.97492158337678,1.0,1.0016597004398269
11134,4.9673443030886055,1.0,1.001379817861969
11138,4.717923941039803,1.0,1.0013105344280666
11192,4.202435009768557,1.0,1.001167343058269
11253,5.837739567546674,1.0,1.0016215943243185
11303,4.930372724948828,1.0,1.0013695479791525
11340,6.274581468408158,1.0,1.00174293929678
11345,3.1181500620959923,1.0,1.0008661527950267
11363,5.065051361823603,1.0,1.0014069587116177
11453,4.36917897830762,1.0,1.0012136608273077
11456,8.311626666436034,1.0,1.0023087851851211
11462,4.640361985656671,1.0,1.0012889894404602
11472,3.3316300214612404,1.0,1.0009254527837392
11482,4.467600137123284,1.0,1.0012410000380898
11499,6.161447165987433,1.0,1.0017115131016632
11573,4.11665226071003,1.0,1.001143514516864
11612,2.788812549603481,1.0,1.0007746701526676
11639,5.966800162010966,1.0,1.0016574444894475
11679,5.758937121297514,1.0,1.001599704755916
11715,6.177915824720159,1.0,1.001716087729089
11745,5.58581454052085,1.0,1.0015516151501447
11760,5.036950503130022,1.0,1.0013991529175361
11765,6.4834923509860864,1.0,1.0018009700974961
11769,2.9824406443389684,1.0,1.0008284557345386
11774,7.756725055766278,1.0,1.002154645848824
11809,10.02577171634016,1.0,1.0027849365878723
11817,5.9042749458775745,1.0,1.0016400763738549
11857,3.8238812553157864,1.0,1.0010621892375877
11859,4.403071750191856,1.0,1.0012230754861644
11889,4.14698084914189,1.0,1.0011519391247616
11912,5.000429655937211,1.0,1.0013890082377603
11930,6.251350809468459,1.0,1.0017364863359635
12091,4.5058002089498395,1.0,1.0012516111691527
12104,5.900515164331477,1.0,1.001639031990092
