time_hours,maneuvering_satellite_count,failed_satellite_count,available_capacity_gbps,available_capacity_ratio,basic_coverage_indicator,recommended_candidate_id
6641.0,2.545936056219034,0.0,36774.54063943781,0.9993081695499404,1,0
6642.0,1.4719182032013125,0.0,36785.28081796799,0.9996000222273907,1,0
6643.0,0.8759997338565881,0.0,36791.24000266144,0.9997619565940608,1,0
6644.0,3.109204914766451,0.0,36768.907950852335,0.9991551073601178,1,0
6645.0,1.02200829600406,0.0,36789.77991703996,0.9997222803543468,1,0
6646.0,1.017457022850067,0.0,36789.8254297715,0.999723517113356,1,0
6647.0,0.98560792686294,0.0,36790.14392073137,0.9997321717590044,1,0
6648.0,1.904847887727556,0.0,36780.951521122726,0.9994823782913784,1,0
6649.0,1.6756764592682885,0.0,36783.24323540732,0.9995446531360684,1,0
6650.0,1.6798860829130715,0.0,36783.20113917087,0.9995435092165996,1,0
6651.0,0.7482123475319895,0.0,36792.51787652468,0.9997966814273012,1,0
6652.0,0.795785274462105,0.0,36792.04214725538,0.9997837540015048,1,0
6653.0,2.162941483516988,0.0,36778.37058516483,0.9994122441620876,1,0
6654.0,1.7289166478285551,0.0,36782.71083352171,0.9995301856935248,1,0
6655.0,3.186961513230017,0.0,36768.1303848677,0.9991339778496656,1,0
6656.0,1.1391670316616,0.0,36788.60832968338,0.9996904437413964,1,0
6657.0,0.5501686700081336,0.0,36794.49831329992,0.9998504976440196,1,0
6658.0,1.7370865976099594,0.0,36782.6291340239,0.9995279655984756,1,0
6659.0,0.9751211231796332,0.0,36790.24878876821,0.9997350214339188,1,0
6660.0,2.3480317393286896,0.0,36776.51968260671,0.9993619478969216,1,0
6661.0,2.036292045238952,0.0,36779.63707954761,0.9994466597703155,1,0
6662.0,0.6915732484430919,0.0,36793.08426751557,0.9998120724868362,1,0
6663.0,1.788704369885636,0.0,36782.11295630114,0.9995139390299224,1,0
6664.0,1.3339242665178972,0.0,36786.66075733482,0.9996375205797506,1,0
6665.0,3.472026795177044,0.0,36765.27973204823,0.9990565144578324,1,0
6666.0,1.0897129458435302,0.0,36789.10287054157,0.999703882351673,1,0
6667.0,0.786822278980253,0.0,36792.1317772102,0.9997861895981032,1,0
6668.0,1.850233730590844,0.0,36781.49766269409,0.9994972190949482,1,0
6669.0,0.3661972323616282,0.0,36796.33802767639,0.9999004898825103,1,0
6670.0,0.2847158149979805,0.0,36797.15284185002,0.9999226315720116,1,0
6671.0,1.6372905353409806,0.0,36783.62709464659,0.9995550840936572,1,0
6672.0,3.1290227277422678,0.0,36768.70977272258,0.9991497220848526,1,0
6673.0,3.873588869928426,0.0,36761.26411130071,0.9989473943288236,1,0
6674.0,4.089239022743641,0.0,36759.10760977256,0.9988887937438196,1,0
6675.0,5.185687606259307,0.0,36748.14312393741,0.9985908457591688,1,0
6676.0,1.447395151274577,0.0,36785.526048487256,0.9996066861001972,1,0
6677.0,2.919812779427957,0.0,36770.80187220572,0.9992065726142858,1,0
6678.0,1.397953204177611,0.0,36786.020467958224,0.9996201214119084,1,0
6679.0,4.806348003723542,0.0,36751.936519962765,0.9986939271729012,1,0
6680.0,5.898540581368252,0.0,36741.01459418632,0.9983971357115846,1,0
6681.0,2.996420340340592,0.0,36770.0357965966,0.9991857553422988,1,0
6682.0,1.827516809887129,0.0,36781.72483190113,0.9995033921712264,1,0
6683.0,0.7159270162565008,0.0,36792.84072983744,0.9998054546151476,1,0
6684.0,2.974399345085658,0.0,36770.25600654914,0.9991917393084006,1,0
6685.0,1.4306163129576817,0.0,36785.69383687042,0.999611245567131,1,0
6686.0,2.8877049484899544,0.0,36771.1229505151,0.999215297568345,1,0
