event_sample_id,delta_v_required_mps,delta_v_commanded_mps,delta_v_actual_mps,delta_v_limited
354471,0.0013895794233122678,0.0013895794233122678,0.001368948725630285,False
354522,0.0018727945660433894,0.0018727945660433894,0.0017966995350657082,False
354536,0.0021422047887681606,0.0021422047887681606,0.0022160116968536025,False
354581,0.002375367455684062,0.002375367455684062,0.002306042338161325,False
354662,0.0019077047776340588,0.0019077047776340588,0.001851439343593193,False
354717,0.0013073897435437341,0.0013073897435437341,0.001320928073500549,False
354727,0.002614402434288032,0.002614402434288032,0.002611359637733719,False
354760,0.001745723803193896,0.001745723803193896,0.001775049418819249,False
354761,0.0020844414369048415,0.0020844414369048415,0.0020482194525136294,False
354786,0.00172042910464614,0.00172042910464614,0.0017237516342312853,False
354815,0.002216879664177635,0.002216879664177635,0.0021838357649315624,False
354873,0.001741130964807431,0.001741130964807431,0.0017396946432669065,False
354908,0.0024016404705673256,0.0024016404705673256,0.0023617521594752992,False
354939,0.0030374194221450966,0.0030374194221450966,0.0029963163919656238,False
355003,0.0029148899328876334,0.0029148899328876334,0.0028426641870481547,False
355008,0.0022324587808936406,0.0022324587808936406,0.0021774723096036194,False
355040,0.0015479888260546248,0.0015479888260546248,0.001572647571996504,False
355044,0.0025567686566488877,0.0025567686566488877,0.0025576085535360155,False
355051,0.003507609802510183,0.003507609802510183,0.0036070629361930288,False
355074,0.001296954339796187,0.001296954339796187,0.0013573272227770652,False
355081,0.0016252182017765851,0.0016252182017765851,0.001547293009773077,False
355138,0.0013716137128646794,0.0013716137128646794,0.0013789605407225013,False
355155,0.003284862865731743,0.003284862865731743,0.00340349618094726,False
355174,0.00236754918371388,0.00236754918371388,0.0023966474483155284,False
355177,0.0019516897784021077,0.0019516897784021077,0.002001050404316348,False
355180,0.0015992764968087965,0.0015992764968087965,0.001643583559564605,False
355195,0.0019408349599061383,0.0019408349599061383,0.0019653656569431632,False
355199,0.002296705366655931,0.002296705366655931,0.002294704512058777,False
