mc_year,annual_avoidance_count,annual_avoidance_cost_cny
727,16194,323880000.0
728,16139,322780000.0
729,16109,322180000.0
730,16097,321940000.0
731,16096,321920000.0
732,16347,326940000.0
733,16207,324140000.0
734,16135,322700000.0
735,16327,326540000.0
736,15938,318760000.0
737,15951,319020000.0
738,16228,324560000.0
739,16131,322620000.0
740,16119,322380000.0
741,16099,321980000.0
742,16172,323440000.0
743,16162,323240000.0
744,16028,320560000.0
745,16363,327260000.0
746,16119,322380000.0
747,16088,321760000.0
748,16382,327640000.0
749,16446,328920000.0
750,16487,329740000.0
751,16167,323340000.0
752,16158,323160000.0
753,15996,319920000.0
754,16200,324000000.0
755,16295,325900000.0
756,16090,321800000.0
757,16119,322380000.0
758,16088,321760000.0
759,16322,326440000.0
760,15916,318320000.0
761,16305,326100000.0
762,15948,318960000.0
763,16191,323820000.0
764,16224,324480000.0
765,16138,322760000.0
766,16142,322840000.0
767,16397,327940000.0
768,16097,321940000.0
769,16199,323980000.0
770,16248,324960000.0
771,16078,321560000.0
772,16096,321920000.0
773,16041,320820000.0
774,16051,321020000.0
775,15999,319980000.0
776,16160,323200000.0
777,16187,323740000.0
778,16154,323080000.0
779,15947,318940000.0
780,16043,320860000.0
781,16104,322080000.0
782,16267,325340000.0
783,15993,319860000.0
784,16062,321240000.0
785,15941,318820000.0
786,16213,324260000.0
787,16159,323180000.0
788,16158,323160000.0
789,16105,322100000.0
790,16102,322040000.0
791,16162,323240000.0
792,16112,322240000.0
793,15989,319780000.0
794,16231,324620000.0
795,16215,324300000.0
796,15973,319460000.0
797,16310,326200000.0
798,16512,330240000.0
799,16280,325600000.0
800,16273,325460000.0
801,16396,327920000.0
802,16054,321080000.0
803,16030,320600000.0
804,16283,325660000.0
805,16171,323420000.0
806,16293,325860000.0
807,16242,324840000.0
808,16058,321160000.0
809,16181,323620000.0
810,16227,324540000.0
811,16017,320340000.0
812,16092,321840000.0
813,16197,323940000.0
814,16183,323660000.0
815,16308,326160000.0
816,16256,325120000.0
817,16122,322440000.0
818,16120,322400000.0
819,16147,322940000.0
820,15913,318260000.0
821,16016,320320000.0
822,16198,323960000.0
823,15990,319800000.0
824,16133,322660000.0
825,16199,323980000.0
826,16184,323680000.0
827,16135,322700000.0
828,16370,327400000.0
829,16207,324140000.0
830,16231,324620000.0
831,16209,324180000.0
832,16224,324480000.0
833,16235,324700000.0
834,15906,318120000.0
835,15942,318840000.0
836,15961,319220000.0
837,16002,320040000.0
838,16206,324120000.0
839,16052,321040000.0
840,16123,322460000.0
841,16115,322300000.0
842,16074,321480000.0
843,16277,325540000.0
844,16184,323680000.0
845,16453,329060000.0
846,16042,320840000.0
847,16170,323400000.0
848,16161,323220000.0
849,15927,318540000.0
850,16155,323100000.0
851,16140,322800000.0
852,16146,322920000.0
853,16169,323380000.0
854,16040,320800000.0
855,16046,320920000.0
856,16250,325000000.0
857,16032,320640000.0
858,16125,322500000.0
859,16286,325720000.0
860,16326,326520000.0
861,16214,324280000.0
862,16215,324300000.0
863,16190,323800000.0
864,16191,323820000.0
865,16259,325180000.0
866,15949,318980000.0
867,16347,326940000.0
868,16131,322620000.0
869,16304,326080000.0
870,16065,321300000.0
871,16339,326780000.0
872,16213,324260000.0
873,16223,324460000.0
874,16137,322740000.0
875,16250,325000000.0
876,16286,325720000.0
877,16286,325720000.0
878,16080,321600000.0
879,16098,321960000.0
880,15992,319840000.0
881,16237,324740000.0
882,16279,325580000.0
883,16180,323600000.0
884,15924,318480000.0
