M,N,inclination_deg,phase_factor_F,Omega0_deg,u0_deg,total_satellites,feasible,constraint_violation,Q1_full_region,Q2_full_region,P1_space_time,P2_space_time,mean_multiplicity,worst_A1,worst_A2,max_gap_time_min,max_double_gap_time_min,min_availability1,min_availability2,mean_availability1,mean_availability2,std_availability1,std_mean_multiplicity,min_angular_margin_deg,worst_grid_latitude_deg,worst_grid_longitude_deg,worst_double_grid_latitude_deg,worst_double_grid_longitude_deg,sample_count,grid_point_count,simulation_duration_seconds,coverage_method,single_feasible,double_feasible,upper_reach_deg,geometric_prefilter_failed,generation_evaluated,seed,search_stage,scenario,refinement_iteration
40,36,49.3120116278299,15,7.467363451720298,4.731797525067117,1440,False,100.52632903936768,0.0,0.0,0.962883796929625,0.8233299133606934,2.8784959720322236,0.952120383036936,0.8043775649794803,15.0,20.0,0.5833333333333334,0.5034722222222222,0.9628837969296248,0.8233299133606933,0.07349875922216342,1.382875558725553,,53.0,79.575135072763,53.0,79.575135072763,288,731,86400.0,kdtree,False,False,53.86257895377867,False,0.0,20260710.0,main_ga,single,
32,30,50.887189474346435,25,5.231338812789324,10.260027200321264,960,False,101.02417730658154,0.0,0.0,0.926679586563308,0.6399386304909565,1.913341693266454,0.9056087551299593,0.614227086183311,10.0,105.0,0.6944444444444444,0.2847222222222222,0.926679586563308,0.6399386304909561,0.08160251434498368,0.9168114722628609,,13.892537665106,75.038127320091,5.978507533021,130.690495010807,288,731,86400.0,kdtree,False,False,55.43775680029521,False,0.0,20260710.0,main_ga,single,
25,40,54.97599656921159,8,8.407839601288801,3.060431283141116,1000,False,100.9938297993616,0.0,0.0,0.9264040887672902,0.6150678294573648,1.833836829305365,0.909712722298222,0.5923392612859102,25.0,90.0,0.7326388888888888,0.2326388888888889,0.9264040887672903,0.6150678294573648,0.08567280625075589,0.9287614653912974,,5.978507533021,100.85058379832,9.935522599064,123.215797583323,288,731,86400.0,kdtree,False,False,59.526563895160365,False,0.0,20260710.0,main_ga,single,
49,40,52.53477379188535,0,1.7182744973317712,5.0961175719975875,1960,True,0.0,1.0,0.6319444444444444,1.0000000000000002,0.9993872549019611,3.819601193190454,1.0000000000000004,0.9958960328317378,0.0,5.0,1.0,0.9895833333333334,1.0000000000000004,0.9993872549019612,0.0,1.9019432115345043,,4.0,73.0,4.0,84.900033080618,288,731,86400.0,kdtree,True,False,57.085341117834126,False,0.0,20260710.0,main_ga,single,
55,37,49.000409034327326,0,1.8676378012343318,5.254648500086593,2035,False,2.141615367077064,0.9791666666666666,0.0,0.9999097507219944,0.9798174114607084,4.053726820185439,0.9945280437756501,0.9699042407660738,5.0,60.0,0.9930555555555556,0.24305555555555555,0.9999097507219942,0.9798174114607082,0.000754392069314932,1.9627720702164762,,53.0,89.437837681906,53.0,102.588107827431,288,731,86400.0,kdtree,False,False,53.5509763602761,False,0.0,20260710.0,main_ga,single,
33,43,53.5078966860133,13,10.725958317843348,2.2231474771846313,1419,False,98.35683614531084,0.017361111111111112,0.0,0.9960765313877492,0.8885326417388666,2.717135012919896,0.9917920656634751,0.8659370725034204,10.0,20.0,0.9444444444444444,0.7152777777777778,0.9960765313877493,0.8885326417388666,0.0097675920714993,1.3953809139277407,,11.914030132085,97.264791317218,4.0,76.966677693539,288,731,86400.0,kdtree,False,False,58.05846401196207,False,0.0,20260710.0,main_ga,single,
22,44,49.04553668655106,15,12.252617881415414,4.139840162362751,968,False,101.01117666058671,0.0,0.0,0.9262093403252776,0.6334929320565437,1.9288313193494457,0.9083447332421342,0.6114911080711354,30.0,70.0,0.5104166666666666,0.11805555555555555,0.9262093403252774,0.6334929320565437,0.1063372428216189,0.9311167923063243,,53.0,119.025945509338,53.0,135.0,288,731,86400.0,kdtree,False,False,53.596104012499836,False,0.0,20260710.0,main_ga,single,
51,38,53.67221045539475,48,5.733008554139519,3.7502689956410933,1938,True,0.0,1.0,0.0,1.0000000000000002,0.9891178370573042,3.697151922784618,1.0000000000000004,0.9794801641586872,0.0,10.0,1.0,0.9479166666666666,1.0000000000000004,0.9891178370573039,0.0,1.9020585753625,,4.0,73.0,7.957015066042,78.993224152409,288,731,86400.0,kdtree,True,False,58.222777781343524,False,0.0,20260710.0,main_ga,single,
57,34,40.614513216290874,17,2.8711833728046336,1.9125488054721265,1938,False,190.3491945776035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.83491945776035,53.0,73.0,53.0,73.0,0,0,86400.0,geometric_prefilter,False,False,45.16508054223965,True,0.0,20260710.0,main_ga,single,
36,41,51.21546284676673,14,9.441498432857326,8.41425610177461,1476,False,97.69048772609818,0.024305555555555556,0.0,0.9953402872777022,0.9062832497340025,2.936635506915945,0.9890560875513,0.8837209302325585,10.0,25.0,0.9305555555555556,0.7604166666666666,0.9953402872777022,0.9062832497340026,0.012908128139780114,1.4234840653145873,,17.849552731148,116.649754235464,4.0,118.616793475702,288,731,86400.0,kdtree,False,False,55.7660301727155,False,0.0,20260710.0,main_ga,single,
60,50,53.51165907022984,1,0.0,0.0,3000,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,5.743644550843594,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.9490570634852724,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,58.062226396178616,False,1.0,20260710.0,main_ga,single,
47,42,52.95940092266294,1,0.2757352473608625,3.3154204735867414,1974,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,3.8202139382884943,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,1.9311045769339865,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,57.50996824861171,False,1.0,20260710.0,main_ga,single,
46,40,52.88936736016231,34,1.45332630764791,4.731015986475165,1840,True,0.0,1.0,0.0,1.0000000000000002,0.988182094543244,3.563473742210062,1.0000000000000004,0.9726402188782495,0.0,15.0,1.0,0.9340277777777778,1.0000000000000004,0.988182094543244,0.0,1.7973605629836362,,4.0,73.0,7.957015066042,74.997741384136,288,731,86400.0,kdtree,True,False,57.43993468611109,False,1.0,20260710.0,main_ga,single,
38,35,55.497427293957024,4,0.5004089098733732,5.637084650359447,1330,False,100.3372473020216,0.0,0.0,0.9808624031007755,0.820945432436541,2.4004075467396255,0.9685362517099867,0.7948016415868677,5.0,20.0,0.8645833333333334,0.5972222222222222,0.9808624031007755,0.820945432436541,0.0311457627094178,1.2064436938151284,,13.892537665106,81.152509280365,9.935522599064,125.224429486656,288,731,86400.0,kdtree,False,False,60.0479946199058,False,1.0,20260710.0,main_ga,single,
50,47,53.29599805867696,1,1.0360100947951352,6.112719657321765,2350,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.519299095607234,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.310763972857473,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,57.846565384625734,False,1.0,20260710.0,main_ga,single,
37,25,52.569640607845976,15,4.443678631961973,4.643848735152135,925,False,102.00290697674419,0.0,0.0,0.8371428028575776,0.5205435856513151,1.8025915792673652,0.8166894664842685,0.5034199726402189,10.0,80.0,0.6284722222222222,0.22569444444444445,0.8371428028575776,0.5205435856513153,0.11590434787058056,0.897709549008739,,19.82806026417,104.54794015934,11.914030132085,109.397186975826,288,731,86400.0,kdtree,False,False,57.12020793379475,False,1.0,20260710.0,main_ga,single,
40,50,52.65790121398541,1,1.8375664549940536,1.1644849444433598,2000,True,0.0,1.0,0.6388888888888888,1.0000000000000002,0.9994490044079652,3.8900668794649644,1.0000000000000004,0.9972640218878254,0.0,5.0,1.0,0.9826388888888888,1.0000000000000004,0.9994490044079651,0.0,1.9445194663703804,,4.0,73.0,4.0,74.98333884677,288,731,86400.0,kdtree,True,False,57.20846853993419,False,1.0,20260710.0,main_ga,single,
14,39,53.5147147309697,1,0.0,0.0,546,False,103.41716066271469,0.0,0.0,0.7163702690378481,0.27437680498555994,1.0453953868369052,0.6922024623803014,0.25170998632010927,80.0,1440.0,0.4479166666666667,0.0,0.7163702690378482,0.2743768049855603,0.16297664135967463,0.5368825763931198,,15.871045198127,97.683016004201,7.957015066042,73.0,288,731,86400.0,kdtree,False,False,58.06528205691848,False,1.0,20260710.0,main_ga,single,
37,42,51.47039625019774,1,8.491836548474879,6.83762825526812,1554,False,43.493283553731565,0.5659722222222222,0.0,0.9985180118559054,0.958304833561332,3.086159560723514,0.9917920656634751,0.9370725034199731,10.0,25.0,0.9583333333333334,0.8472222222222222,0.9985180118559056,0.958304833561332,0.005883529267635055,1.5097554566111862,,13.892537665106,105.61003712146,11.914030132085,125.573714520638,288,731,86400.0,kdtree,False,False,56.020963576146514,False,1.0,20260710.0,main_ga,single,
37,44,52.00647648929519,15,5.739034632866248,2.990261083439633,1628,False,83.39305460556317,0.16666666666666666,0.0,0.9984705122359026,0.9538683690530481,3.209335575315397,0.9945280437756503,0.9370725034199731,5.0,10.0,0.9652777777777778,0.8333333333333334,0.9984705122359026,0.9538683690530481,0.005977151066884247,1.5885810225772545,,4.0,98.783405008006,5.978507533021,132.679822424972,288,731,86400.0,kdtree,False,False,56.557043815243965,False,1.0,20260710.0,main_ga,single,
51,38,52.31438292822164,48,5.733008554139519,3.7502689956410933,1938,True,0.0,1.0,0.0,1.0000000000000002,0.9902483280133764,3.7911489208086326,1.0000000000000004,0.9794801641586871,0.0,10.0,1.0,0.9548611111111112,1.0000000000000004,0.9902483280133763,0.0,1.8739467112347947,,4.0,73.0,7.957015066042,96.972896609636,288,731,86400.0,kdtree,True,False,56.86495025417042,False,1.0,20260710.0,main_ga,single,
46,49,55.2706013704048,36,1.6316065822881964,2.279216545035823,2254,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.098732710138318,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.072075683831097,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,59.821168696353574,False,1.0,20260710.0,main_ga,single,
38,49,54.64882098277224,34,1.0586368612904928,1.478826253602287,1862,True,0.0,1.0,0.14930555555555555,1.0000000000000002,0.9976820185438522,3.445821933424533,1.0000000000000004,0.9917920656634751,0.0,10.0,1.0,0.96875,1.0000000000000004,0.9976820185438521,0.0,1.7487081128695092,,4.0,73.0,5.978507533021,84.935964484994,288,731,86400.0,kdtree,True,False,59.19938830872102,False,1.0,20260710.0,main_ga,single,
48,43,54.12746779924285,13,5.92240953984783,2.2428551316170005,2064,True,0.0,1.0,0.5243055555555556,1.0000000000000002,0.9990262577899381,3.8797499620003046,1.0000000000000004,0.9945280437756503,0.0,5.0,1.0,0.9791666666666666,1.0000000000000004,0.999026257789938,0.0,1.9744420569044054,,4.0,73.0,5.978507533021,135.0,288,731,86400.0,kdtree,True,False,58.67803512519163,False,1.0,20260710.0,main_ga,single,
