time_seconds,left_plane,right_plane,kappa,feasible_count,maximum_distance_km,total_distance_km,matching_method
5820.0,6,7,45,46,930.5620120930129,32032.969774324545,cyclic_shift
5820.0,7,8,45,46,931.2774132493065,32032.96977439919,cyclic_shift
5820.0,8,9,45,46,930.7330488959029,32032.969774337227,cyclic_shift
5820.0,9,10,45,46,930.0438294460338,32032.969774300844,cyclic_shift
5820.0,10,11,45,46,931.1788951310443,32032.96977438527,cyclic_shift
5820.0,11,12,45,46,931.0544572083023,32032.969774369525,cyclic_shift
5820.0,12,13,45,46,929.6708465437158,32032.969774294816,cyclic_shift
5820.0,13,14,45,46,930.940404596749,32032.96977435677,cyclic_shift
5820.0,14,15,45,46,931.235929858469,32032.96977439315,cyclic_shift
5820.0,15,16,45,46,930.2717998855295,32032.969774308775,cyclic_shift
5820.0,16,17,45,46,930.5620120930072,32032.969774324472,cyclic_shift
5820.0,17,18,45,46,931.2774132493067,32032.96977439921,cyclic_shift
5820.0,18,19,45,46,930.7330488959028,32032.96977433725,cyclic_shift
5820.0,19,20,45,46,930.0438294460337,32032.969774300807,cyclic_shift
5820.0,20,21,45,46,931.1788951310457,32032.969774385245,cyclic_shift
5820.0,21,22,45,46,931.0544572082986,32032.9697743695,cyclic_shift
5820.0,22,23,45,46,929.6708465437182,32032.96977429492,cyclic_shift
5820.0,23,24,45,46,930.9404045967494,32032.96977435677,cyclic_shift
5820.0,24,25,45,46,931.2359298584626,32032.96977439308,cyclic_shift
5820.0,25,26,45,46,930.2717998855333,32032.969774308684,cyclic_shift
5820.0,26,27,45,46,930.5620120930184,32032.969774324738,cyclic_shift
5820.0,27,28,45,46,931.2774132493009,32032.969774398935,cyclic_shift
5820.0,28,29,45,46,930.7330488959088,32032.969774337504,cyclic_shift
5820.0,29,30,45,46,930.0438294460278,32032.969774300615,cyclic_shift
5820.0,30,31,45,46,931.1788951310517,32032.969774385485,cyclic_shift
5820.0,31,32,45,46,931.0544572083005,32032.969774369383,cyclic_shift
5820.0,32,33,45,46,929.6708465437214,32032.969774294976,cyclic_shift
5820.0,33,34,45,46,930.9404045967391,32032.969774356494,cyclic_shift
5820.0,34,35,45,46,931.2359298584793,32032.969774393467,cyclic_shift
5820.0,35,36,45,46,930.2717998855185,32032.969774308523,cyclic_shift
5820.0,36,37,45,46,930.5620120930196,32032.96977432459,cyclic_shift
5820.0,37,38,45,46,931.2774132493062,32032.96977439906,cyclic_shift
5820.0,38,39,45,46,930.7330488959088,32032.969774337525,cyclic_shift
5820.0,39,0,27,46,930.0438294460325,32032.969774300753,cyclic_shift
5850.0,0,1,45,46,930.3673044909903,32032.969774313173,cyclic_shift
5850.0,1,2,45,46,931.254097127165,32032.969774395722,cyclic_shift
5850.0,2,3,45,46,930.8811862338628,32032.969774350742,cyclic_shift
5850.0,3,4,45,46,929.7920839486981,32032.969774295965,cyclic_shift
5850.0,4,5,45,46,931.0984191164038,32032.969774374797,cyclic_shift
5850.0,5,6,45,46,931.1454646452397,32032.96977438089,cyclic_shift
5850.0,6,7,45,46,929.9330954476418,32032.96977429826,cyclic_shift
5850.0,7,8,45,46,930.8027924580647,32032.96977434329,cyclic_shift
5850.0,8,9,45,46,931.2697805138321,32032.96977439807,cyclic_shift
5850.0,9,10,45,46,930.4770233494049,32032.969774319135,cyclic_shift
5850.0,10,11,45,46,930.3673044909889,32032.969774313115,cyclic_shift
5850.0,11,12,45,46,931.2540971271662,32032.96977439585,cyclic_shift
5850.0,12,13,45,46,930.8811862338637,32032.969774350684,cyclic_shift
5850.0,13,14,45,46,929.7920839486978,32032.969774295932,cyclic_shift
5850.0,14,15,45,46,931.098419116409,32032.96977437489,cyclic_shift
5850.0,15,16,45,46,931.14546464524,32032.969774380876,cyclic_shift
5850.0,16,17,45,46,929.9330954476418,32032.969774298177,cyclic_shift
5850.0,17,18,45,46,930.8027924580651,32032.96977434335,cyclic_shift
5850.0,18,19,45,46,931.2697805138317,32032.96977439805,cyclic_shift
5850.0,19,20,45,46,930.477023349405,32032.969774319103,cyclic_shift
5850.0,20,21,45,46,930.36730449099,32032.969774313184,cyclic_shift
5850.0,21,22,45,46,931.2540971271623,32032.969774395726,cyclic_shift
5850.0,22,23,45,46,930.8811862338664,32032.969774350775,cyclic_shift
5850.0,23,24,45,46,929.7920839486982,32032.969774296005,cyclic_shift
5850.0,24,25,45,46,931.0984191164038,32032.96977437474,cyclic_shift
5850.0,25,26,45,46,931.1454646452328,32032.969774380806,cyclic_shift
5850.0,26,27,45,46,929.9330954476522,32032.9697742985,cyclic_shift
5850.0,27,28,45,46,930.8027924580533,32032.969774343037,cyclic_shift
5850.0,28,29,45,46,931.269780513838,32032.969774398272,cyclic_shift
5850.0,29,30,45,46,930.4770233493991,32032.969774318964,cyclic_shift
5850.0,30,31,45,46,930.3673044909965,32032.969774313377,cyclic_shift
5850.0,31,32,45,46,931.2540971271637,32032.969774395602,cyclic_shift
5850.0,32,33,45,46,930.8811862338696,32032.969774350884,cyclic_shift
5850.0,33,34,45,46,929.7920839486983,32032.969774295714,cyclic_shift
5850.0,34,35,45,46,931.0984191164146,32032.96977437512,cyclic_shift
5850.0,35,36,45,46,931.1454646452278,32032.969774380657,cyclic_shift
5850.0,36,37,45,46,929.933095447653,32032.969774298355,cyclic_shift
5850.0,37,38,45,46,930.8027924580587,32032.969774343135,cyclic_shift
5850.0,38,39,45,46,931.269780513838,32032.969774398323,cyclic_shift
5850.0,39,0,27,46,930.4770233494045,32032.969774319117,cyclic_shift
5880.0,0,1,45,46,930.1720679369901,32032.969774304853,cyclic_shift
5880.0,1,2,45,46,930.6418610271517,32032.96977433005,cyclic_shift
5880.0,2,3,45,46,931.2802888779978,32032.969774399648,cyclic_shift
5880.0,3,4,45,46,930.658943575143,32032.969774331414,cyclic_shift
5880.0,4,5,45,46,930.1492990596889,32032.969774303983,cyclic_shift
5880.0,5,6,45,46,931.2074394859669,32032.969774389214,cyclic_shift
5880.0,6,7,45,46,931.0060004175425,32032.96977436393,cyclic_shift
5880.0,7,8,45,46,929.5455174658931,32032.969774294375,cyclic_shift
5880.0,8,9,45,46,930.9946092480767,32032.969774362628,cyclic_shift
5880.0,9,10,45,46,931.2131359118112,32032.969774389952,cyclic_shift
5880.0,10,11,45,46,930.1720679369886,32032.96977430479,cyclic_shift
5880.0,11,12,45,46,930.641861027153,32032.969774330173,cyclic_shift
5880.0,12,13,45,46,931.2802888779983,32032.969774399593,cyclic_shift
5880.0,13,14,45,46,930.6589435751433,32032.96977433137,cyclic_shift
5880.0,14,15,45,46,930.1492990596942,32032.969774304078,cyclic_shift
5880.0,15,16,45,46,931.2074394859665,32032.9697743892,cyclic_shift
5880.0,16,17,45,46,931.0060004175422,32032.969774363846,cyclic_shift
5880.0,17,18,45,46,929.5455174658931,32032.969774294445,cyclic_shift
5880.0,18,19,45,46,930.9946092480766,32032.9697743626,cyclic_shift
5880.0,19,20,45,46,931.2131359118113,32032.96977438993,cyclic_shift
5880.0,20,21,45,46,930.1720679369898,32032.969774304853,cyclic_shift
5880.0,21,22,45,46,930.641861027149,32032.969774330057,cyclic_shift
