ground_index,latitude_deg,longitude_deg,minimum_visible_satellites,mean_visible_satellites,maximum_visible_satellites,mean_minimum_slant_distance_km
2061,36.0,118.0,2,3.7395833333333335,6,595.1249511383362
2062,36.0,119.0,2,3.7395833333333335,6,595.0036327658056
2063,36.0,120.0,2,3.75,6,595.0224877191416
2064,36.0,121.0,2,3.763888888888889,6,595.1586907391172
2065,36.0,122.0,2,3.75,6,595.3234648175013
2066,36.0,123.0,2,3.7430555555555554,6,595.3607895106519
2067,36.0,124.0,2,3.7569444444444446,5,595.3062119083764
2068,36.0,125.0,2,3.7430555555555554,6,595.112427330359
2069,36.0,126.0,2,3.732638888888889,6,595.0445121122735
2070,36.0,127.0,2,3.7777777777777777,6,595.1244885944593
2071,36.0,128.0,2,3.7604166666666665,6,595.2579463162234
2072,36.0,129.0,2,3.7604166666666665,6,595.332403532246
2073,36.0,130.0,2,3.7569444444444446,6,595.4514104781347
2074,36.0,131.0,2,3.7395833333333335,6,595.2952286228685
2075,36.0,132.0,2,3.7430555555555554,6,595.0538706568527
2076,36.0,133.0,2,3.7430555555555554,6,594.9248088395856
2077,36.0,134.0,2,3.767361111111111,6,595.0185912765292
2078,36.0,135.0,2,3.7465277777777777,6,595.3162957501834
2079,37.0,73.0,2,3.875,6,588.7966895819568
2080,37.0,74.0,2,3.8715277777777777,6,588.8087031648794
2081,37.0,75.0,2,3.9027777777777777,6,588.7408722414548
2082,37.0,76.0,2,3.9166666666666665,6,588.4502525683681
2083,37.0,77.0,2,3.8819444444444446,6,588.3256533692434
2084,37.0,78.0,2,3.8819444444444446,6,588.4616903033988
2085,37.0,79.0,2,3.9131944444444446,6,588.7120436935279
2086,37.0,80.0,2,3.9097222222222223,6,588.7711622621625
2087,37.0,81.0,2,3.8958333333333335,6,588.6299019750232
2088,37.0,82.0,2,3.9270833333333335,6,588.5751399850443
2089,37.0,83.0,2,3.892361111111111,6,588.5043399558896
2090,37.0,84.0,2,3.861111111111111,6,588.4498825697412
2091,37.0,85.0,2,3.8715277777777777,6,588.554106740646
2092,37.0,86.0,2,3.8819444444444446,6,588.6290311198793
2093,37.0,87.0,2,3.8784722222222223,6,588.6957183215932
2094,37.0,88.0,2,3.90625,6,588.6683239265508
2095,37.0,89.0,2,3.9027777777777777,6,588.6396594305672
2096,37.0,90.0,2,3.892361111111111,6,588.5295653808245
2097,37.0,91.0,2,3.9097222222222223,6,588.5103594712809
2098,37.0,92.0,2,3.875,6,588.4979510905082
2099,37.0,93.0,2,3.8506944444444446,6,588.4786944243818
2100,37.0,94.0,2,3.90625,6,588.6949532972333
2101,37.0,95.0,2,3.923611111111111,6,588.7157701715222
2102,37.0,96.0,2,3.8958333333333335,6,588.5964438207704
2103,37.0,97.0,2,3.8506944444444446,6,588.540086376444
2104,37.0,98.0,2,3.8506944444444446,6,588.513968301484
2105,37.0,99.0,2,3.8715277777777777,6,588.3432826427459
2106,37.0,100.0,2,3.8993055555555554,6,588.3891730548612
2107,37.0,101.0,2,3.920138888888889,6,588.690679328282
2108,37.0,102.0,2,3.9027777777777777,6,588.8293239756661
2109,37.0,103.0,2,3.8958333333333335,6,588.7548633972053
2110,37.0,104.0,2,3.857638888888889,6,588.5688792237922
2111,37.0,105.0,2,3.875,6,588.324964071767
2112,37.0,106.0,2,3.892361111111111,6,588.316495743486
2113,37.0,107.0,2,3.8993055555555554,6,588.5877363379522
2114,37.0,108.0,2,3.888888888888889,6,588.8147470807519
2115,37.0,109.0,2,3.8645833333333335,6,588.8582532773282
2116,37.0,110.0,2,3.892361111111111,6,588.7273226830696
2117,37.0,111.0,2,3.8819444444444446,6,588.3903006929833
2118,37.0,112.0,2,3.8819444444444446,6,588.2366160792577
2119,37.0,113.0,2,3.8854166666666665,6,588.4415315616149
2120,37.0,114.0,2,3.8854166666666665,6,588.675842565219
2121,37.0,115.0,2,3.892361111111111,6,588.7663496171868
2122,37.0,116.0,2,3.8472222222222223,6,588.8375737453946
2123,37.0,117.0,2,3.8680555555555554,6,588.5755063914044
2124,37.0,118.0,2,3.8958333333333335,6,588.3286399330597
2125,37.0,119.0,2,3.8819444444444446,6,588.3444205744302
2126,37.0,120.0,2,3.8715277777777777,6,588.549581405468
2127,37.0,121.0,2,3.875,6,588.7609302285562
2128,37.0,122.0,2,3.8854166666666665,6,588.8978745928335
2129,37.0,123.0,2,3.8958333333333335,6,588.7161209593331
2130,37.0,124.0,2,3.9097222222222223,6,588.3882385473767
2131,37.0,125.0,2,3.892361111111111,6,588.3655820863949
2132,37.0,126.0,2,3.8645833333333335,6,588.509545500757
2133,37.0,127.0,2,3.8715277777777777,6,588.5366841830132
2134,37.0,128.0,2,3.8715277777777777,6,588.6451354178611
2135,37.0,129.0,2,3.8993055555555554,6,588.6458750552379
2136,37.0,130.0,2,3.8958333333333335,6,588.5782639082357
2137,37.0,131.0,2,3.8715277777777777,6,588.4522196400044
2138,37.0,132.0,2,3.84375,6,588.5434059871862
2139,37.0,133.0,2,3.892361111111111,6,588.464169901596
2140,37.0,134.0,2,3.9097222222222223,6,588.5128442485395
2141,37.0,135.0,2,3.8958333333333335,6,588.6149392574583
2142,38.0,73.0,2,4.069444444444445,8,600.7640210338691
2143,38.0,74.0,2,4.048611111111111,8,600.8113377870743
2144,38.0,75.0,2,4.03125,8,600.6808507488394
2145,38.0,76.0,2,4.03125,8,600.359344048103
2146,38.0,77.0,2,4.045138888888889,8,600.3465031084542
2147,38.0,78.0,2,4.041666666666667,7,600.5422987933206
2148,38.0,79.0,2,4.055555555555555,7,600.8330513275553
2149,38.0,80.0,2,4.065972222222222,8,600.8308920279883
2150,38.0,81.0,2,4.045138888888889,8,600.6552349168823
2151,38.0,82.0,2,4.03125,8,600.5928240585034
2152,38.0,83.0,2,4.024305555555555,8,600.6080193937222
2153,38.0,84.0,2,4.052083333333333,8,600.6309655335597
2154,38.0,85.0,2,4.076388888888889,8,600.7211464987662
2155,38.0,86.0,2,4.034722222222222,8,600.7313274873936
2156,38.0,87.0,2,4.034722222222222,8,600.6745272653177
2157,38.0,88.0,2,4.0625,8,600.5762395404258
2158,38.0,89.0,2,4.041666666666667,8,600.5977020470534
2159,38.0,90.0,2,4.027777777777778,7,600.5615692341767
2160,38.0,91.0,2,4.034722222222222,7,600.579715545178
2161,38.0,92.0,2,4.0625,8,600.526320080361
2162,38.0,93.0,2,4.048611111111111,8,600.4581272604613
2163,38.0,94.0,2,4.034722222222222,8,600.5331695549664
2164,38.0,95.0,2,4.027777777777778,8,600.5625694331433
2165,38.0,96.0,2,4.034722222222222,8,600.4740693467147
2166,38.0,97.0,2,4.045138888888889,8,600.4357402892736
2167,38.0,98.0,2,4.034722222222222,8,600.4365206393504
2168,38.0,99.0,2,4.048611111111111,8,600.2451441558838
2169,38.0,100.0,2,4.038194444444445,8,600.2184239863024
2170,38.0,101.0,2,4.03125,8,600.5551740064496
2171,38.0,102.0,2,4.03125,7,600.7674564395943
2172,38.0,103.0,2,4.045138888888889,7,600.7692470965771
2173,38.0,104.0,2,4.059027777777778,8,600.5807029417672
2174,38.0,105.0,2,4.045138888888889,8,600.3285639639511
2175,38.0,106.0,2,4.041666666666667,8,600.261080349515
2176,38.0,107.0,2,4.045138888888889,8,600.5656249363966
2177,38.0,108.0,2,4.065972222222222,8,600.750306364941
2178,38.0,109.0,2,4.038194444444445,8,600.8338441955432
2179,38.0,110.0,2,4.038194444444445,8,600.8219736501493
2180,38.0,111.0,2,4.0625,8,600.552138483526
2181,38.0,112.0,2,4.0625,8,600.3694224866931
2182,38.0,113.0,2,4.052083333333333,8,600.6207289637618
2183,38.0,114.0,2,4.041666666666667,8,600.7849219077162
2184,38.0,115.0,2,4.038194444444445,8,600.8236144296167
2185,38.0,116.0,2,4.076388888888889,8,600.8335668393944
2186,38.0,117.0,2,4.076388888888889,8,600.64253007309
2187,38.0,118.0,2,4.038194444444445,8,600.3015719572884
2188,38.0,119.0,2,4.048611111111111,8,600.3897431847136
2189,38.0,120.0,2,4.055555555555555,8,600.523738560821
2190,38.0,121.0,2,4.034722222222222,7,600.7432314302504
2191,38.0,122.0,2,4.038194444444445,8,600.897118987557
2192,38.0,123.0,2,4.048611111111111,8,600.6736293086633
2193,38.0,124.0,2,4.052083333333333,8,600.2501383941498
2194,38.0,125.0,2,4.041666666666667,8,600.3188819719451
2195,38.0,126.0,2,4.03125,8,600.4370290148895
2196,38.0,127.0,2,4.03125,8,600.4095612682764
2197,38.0,128.0,2,4.072916666666667,8,600.4730163357291
2198,38.0,129.0,2,4.045138888888889,8,600.5323689386997
2199,38.0,130.0,2,4.024305555555555,8,600.359766167652
2200,38.0,131.0,2,4.052083333333333,8,600.3744694041358
2201,38.0,132.0,2,4.059027777777778,8,600.4676489370571
2202,38.0,133.0,2,4.027777777777778,7,600.4637418478985
2203,38.0,134.0,2,4.024305555555555,8,600.5101219264466
2204,38.0,135.0,2,4.048611111111111,8,600.5869222222198
2205,39.0,73.0,2,4.215277777777778,7,590.1585252811154
2206,39.0,74.0,2,4.239583333333333,7,589.9570136059881
2207,39.0,75.0,2,4.243055555555555,7,589.8790394650939
2208,39.0,76.0,2,4.201388888888889,7,589.8874517139217
2209,39.0,77.0,2,4.232638888888889,7,589.8876344853854
2210,39.0,78.0,2,4.232638888888889,7,589.8683857514756
2211,39.0,79.0,2,4.229166666666667,7,589.9384795407195
2212,39.0,80.0,2,4.246527777777778,7,590.0977163246714
2213,39.0,81.0,2,4.236111111111111,7,590.2639539596373
2214,39.0,82.0,2,4.215277777777778,7,590.1253291759443
2215,39.0,83.0,2,4.229166666666667,7,589.8372492544435
2216,39.0,84.0,2,4.229166666666667,7,589.8567801645524
2217,39.0,85.0,2,4.208333333333333,7,590.0491573039461
2218,39.0,86.0,2,4.246527777777778,7,590.0788782098672
2219,39.0,87.0,2,4.222222222222222,7,590.1123646672748
2220,39.0,88.0,2,4.21875,7,590.023046703965
2221,39.0,89.0,2,4.232638888888889,7,589.9200801042994
2222,39.0,90.0,2,4.21875,7,589.8767717717915
2223,39.0,91.0,2,4.21875,7,589.9487309681323
2224,39.0,92.0,2,4.225694444444445,7,589.9435215280005
2225,39.0,93.0,2,4.229166666666667,7,589.907693863503
2226,39.0,94.0,2,4.232638888888889,7,589.8583109306345
2227,39.0,95.0,2,4.225694444444445,7,589.9413831350041
2228,39.0,96.0,2,4.225694444444445,7,589.9514636451215
2229,39.0,97.0,2,4.204861111111111,7,589.8047390345542
2230,39.0,98.0,2,4.236111111111111,7,589.7172519278384
2231,39.0,99.0,2,4.232638888888889,7,589.7168923897809
2232,39.0,100.0,2,4.222222222222222,7,589.8937190547384
2233,39.0,101.0,2,4.215277777777778,7,589.9496187995157
2234,39.0,102.0,2,4.229166666666667,7,589.8382653232452
2235,39.0,103.0,2,4.260416666666667,7,589.8483761636629
2236,39.0,104.0,2,4.21875,7,589.9874515004915
2237,39.0,105.0,2,4.236111111111111,7,589.9355238616195
2238,39.0,106.0,2,4.211805555555555,7,589.9474296291735
2239,39.0,107.0,2,4.222222222222222,7,589.8859620741405
2240,39.0,108.0,2,4.211805555555555,7,590.0269794325759
2241,39.0,109.0,2,4.232638888888889,7,590.1461049487442
2242,39.0,110.0,2,4.232638888888889,7,590.140581506113
2243,39.0,111.0,2,4.229166666666667,7,589.9517606854565
2244,39.0,112.0,2,4.236111111111111,7,589.8819377314335
2245,39.0,113.0,2,4.21875,7,589.7999679920922
2246,39.0,114.0,2,4.239583333333333,7,590.0365663997496
2247,39.0,115.0,2,4.246527777777778,7,590.222957952808
2248,39.0,116.0,2,4.222222222222222,7,590.211994534601
2249,39.0,117.0,2,4.243055555555555,7,589.9928063650754
2250,39.0,118.0,2,4.243055555555555,7,589.8922625851243
