time_seconds,ground_index,satellite_id,assigned_gbps,assignment_cost_ms
64200.0,126,873,20.0,25.239135912728194
64200.0,196,918,20.0,21.875578328065227
64200.0,194,1714,20.0,21.627760278170815
64200.0,263,963,20.0,18.482202973235076
64200.0,284,38,20.0,16.707447136208934
64200.0,310,174,20.0,23.526008551163454
64500.0,42,125,20.0,30.999057623704445
64500.0,42,1098,20.0,29.880409624944424
64500.0,49,170,20.0,34.20077983988041
64500.0,49,1143,20.0,27.536673369616253
64500.0,34,80,20.0,29.024349208067125
64500.0,34,1052,20.0,29.117382292590325
64500.0,34,1053,20.0,32.95032948040613
64500.0,31,79,20.0,32.94102367688634
64500.0,31,1008,20.0,35.898678100835724
64500.0,7,1756,20.0,29.477994852006955
64500.0,7,917,20.0,38.28234689563796
64500.0,7,916,20.0,35.40203800516281
64500.0,15,1801,20.0,29.85106358529768
64500.0,15,962,20.0,34.96097107836524
64500.0,21,34,20.0,31.381980486691987
64500.0,28,1007,20.0,31.996189208752646
64500.0,28,35,20.0,28.039023698845188
64500.0,62,216,20.0,33.88882238293416
64500.0,62,1188,20.0,26.841476859534847
64500.0,62,1189,20.0,30.747558330310913
64500.0,61,215,20.0,37.904780695692374
64500.0,5,872,20.0,41.55653269579315
64500.0,0,871,20.0,38.24354775768347
64500.0,0,1711,20.0,30.365365361262157
64500.0,3,1755,20.0,33.656965392634646
64500.0,118,171,20.0,30.893106042721815
64500.0,102,1097,20.0,26.52413649930004
64500.0,148,1802,20.0,26.800340884016265
64500.0,138,961,20.0,32.17187443552705
64500.0,174,126,20.0,27.98987607794013
64500.0,238,1142,20.0,23.987430997010645
64500.0,263,1757,20.0,26.28159702802724
64500.0,294,81,20.0,25.804388115025716
64500.0,273,1006,20.0,29.072267635405282
64800.0,42,1095,20.0,26.700816017213075
64800.0,42,123,20.0,30.692237848350036
64800.0,49,168,20.0,32.507391804039415
64800.0,49,1096,20.0,30.021950738468806
64800.0,34,1050,20.0,27.717165810698308
64800.0,34,77,20.0,31.1669346643652
64800.0,7,914,20.0,30.872022036572737
64800.0,7,1753,20.0,29.22912834958167
64800.0,7,1754,20.0,26.312968774636264
64800.0,15,1799,20.0,27.211955568174847
64800.0,15,959,20.0,28.958181013921166
64800.0,15,960,20.0,31.586177919218287
64800.0,21,32,20.0,29.122068827026993
64800.0,28,1005,20.0,29.159764212957548
64800.0,38,122,20.0,33.13392231814839
64800.0,9,1798,20.0,30.64095779499178
64800.0,62,1186,20.0,28.02304989646297
64800.0,62,213,20.0,35.36306374818021
64800.0,53,1141,20.0,28.75489569280359
64800.0,10,915,20.0,33.888917295638116
64800.0,0,869,20.0,33.729456540254134
64800.0,0,1708,20.0,29.128343801445254
64800.0,101,78,20.0,28.922318518153453
64800.0,109,1140,20.0,26.323900182276795
64800.0,83,1004,20.0,27.194704202783793
64800.0,127,1709,20.0,26.079200310251686
64800.0,187,214,20.0,33.626983415689416
64800.0,155,33,20.0,27.092364657732244
64800.0,182,1185,20.0,25.634258642966202
64800.0,246,169,20.0,30.98652363319137
64800.0,218,1049,20.0,25.78476314585108
64800.0,314,1230,20.0,25.856816527787533
64800.0,255,913,20.0,30.017731955961555
64800.0,273,1800,20.0,25.150540993442913
65100.0,42,1093,20.0,19.83875434074881
65100.0,42,120,20.0,21.77611956977855
65100.0,49,1138,20.0,18.488668339305626
65100.0,49,165,20.0,24.68591779323295
65100.0,34,1048,20.0,22.05173966510285
65100.0,34,75,20.0,20.120478912324145
65100.0,7,912,20.0,26.748252076566303
65100.0,7,1751,20.0,23.729551474046016
65100.0,15,957,20.0,23.95830780707652
65100.0,15,1796,20.0,22.671133976106766
65100.0,18,29,20.0,22.295419501787837
65100.0,21,1002,20.0,21.430720163535195
65100.0,21,30,20.0,19.52254163456218
65100.0,28,1003,20.0,24.559596955303075
65100.0,62,1184,20.0,22.357803277876663
65100.0,62,211,20.0,25.005281440001283
65100.0,53,166,20.0,22.31369242699006
65100.0,53,1139,20.0,22.491540311037223
65100.0,53,210,20.0,27.81272134428522
65100.0,55,1183,20.0,19.24778191407698
65100.0,0,867,20.0,30.442201064993352
65100.0,0,1706,20.0,26.260977399044524
65100.0,66,911,20.0,26.661599389739088
65100.0,90,1047,20.0,19.57076280998099
65100.0,80,1797,20.0,19.712481911516598
65100.0,107,121,20.0,19.68741225187228
65100.0,162,1092,20.0,17.477646400940447
65100.0,188,1228,20.0,21.471631339801206
65100.0,197,1752,20.0,20.937178345941508
65100.0,197,956,20.0,23.796319808770235
65100.0,227,76,20.0,18.065546630761542
65100.0,314,212,20.0,23.960433349349472
65100.0,255,1707,20.0,23.349017087066755
65100.0,296,1137,20.0,15.863353267665513
65400.0,42,1091,20.0,24.521036933963163
65400.0,42,118,20.0,20.528727390690058
65400.0,49,1136,20.0,22.822280017100336
65400.0,49,163,20.0,22.820167895116168
65400.0,34,73,20.0,19.732932865704683
65400.0,34,1046,20.0,27.076253706704875
65400.0,34,117,20.0,23.999841204472776
65400.0,34,1045,20.0,24.151326480525476
65400.0,31,72,20.0,22.861622151120994
65400.0,7,910,20.0,31.689502332361315
65400.0,7,1749,20.0,24.614806307882198
65400.0,15,955,20.0,28.547171964614574
65400.0,15,1794,20.0,23.39314020111741
65400.0,18,27,20.0,22.466327790354214
65400.0,21,1000,20.0,25.78700590355236
65400.0,38,1090,20.0,21.883219605316366
65400.0,62,253,20.0,30.009874275664217
65400.0,62,1182,20.0,26.574833916965954
65400.0,6,909,20.0,28.894828577967154
65400.0,61,1181,20.0,22.74336805507282
65400.0,61,209,20.0,23.668141003439896
65400.0,53,208,20.0,26.41780643015317
65400.0,0,1748,20.0,27.840071756475158
65400.0,71,954,20.0,26.01900361560559
65400.0,89,28,20.0,19.899868335705033
65400.0,125,1226,20.0,22.566263676825223
65400.0,63,1704,20.0,27.16865266734759
65400.0,177,164,20.0,20.32277687939652
65400.0,143,999,20.0,23.291504397017306
65400.0,170,1135,20.0,20.282990803706525
65400.0,205,1795,20.0,20.787017558887985
65400.0,277,1044,20.0,21.03339224153393
65400.0,298,119,20.0,17.729402051935857
65400.0,304,1180,20.0,19.680590383793202
65700.0,42,160,20.0,28.26587068273813
65700.0,42,1088,20.0,22.94982502643247
65700.0,42,116,20.0,23.77312722546926
65700.0,49,161,20.0,24.32638838408531
65700.0,49,1134,20.0,24.93372785204172
65700.0,34,115,20.0,27.02998569399465
65700.0,34,1043,20.0,24.307332474066033
65700.0,31,70,20.0,26.0601987434584
65700.0,7,1837,20.0,27.901509944844566
65700.0,7,907,20.0,30.69260197300152
65700.0,7,952,20.0,27.591239504539196
65700.0,45,1133,20.0,21.3359267311249
65700.0,44,1089,20.0,26.749206846486427
65700.0,15,1838,20.0,24.51117516674192
65700.0,15,953,20.0,30.51166698242937
65700.0,15,24,20.0,29.163115823949596
65700.0,18,25,20.0,25.3185689998627
65700.0,18,997,20.0,24.171649572652285
65700.0,21,998,20.0,27.036260033549702
65700.0,62,251,20.0,30.883875733293863
65700.0,62,1179,20.0,24.313550337363875
65700.0,62,1224,20.0,24.757755211881985
65700.0,5,1792,20.0,28.559948882296414
65700.0,53,206,20.0,27.738729410341147
65700.0,0,862,20.0,34.23745496572061
65700.0,70,1793,20.0,25.0307079664355
65700.0,118,1178,20.0,20.87283388790612
65700.0,152,1042,20.0,21.41799249236683
65700.0,160,71,20.0,22.743316771409596
65700.0,189,906,20.0,29.282802628074826
65700.0,189,1702,20.0,26.665112915857428
65700.0,248,207,20.0,26.028876433160008
65700.0,248,1223,20.0,21.186365514354392
65700.0,258,951,20.0,26.074706500885124
66000.0,42,158,20.0,28.098336506309224
66000.0,42,1086,20.0,26.635966325677693
66000.0,49,1131,20.0,24.491991356572683
66000.0,49,203,20.0,31.124314754449685
66000.0,34,113,20.0,25.749634208198998
66000.0,34,1041,20.0,28.86052624034528
66000.0,31,68,20.0,24.77048004284173
66000.0,7,1835,20.0,27.37742490535485
66000.0,7,905,20.0,33.382195903834464
66000.0,15,22,20.0,27.86307883536258
66000.0,15,950,20.0,30.017027902548115
66000.0,15,995,20.0,28.171449214042404
66000.0,21,23,20.0,24.641546467196957
66000.0,28,1040,20.0,25.821551814915637
66000.0,23,67,20.0,28.576183072945867
66000.0,62,249,20.0,30.5000980668455
66000.0,62,1177,20.0,27.20935395969972
66000.0,62,1221,20.0,24.73505602717968
66000.0,5,1790,20.0,27.479118059940237
66000.0,53,1176,20.0,23.25676615126558
66000.0,55,204,20.0,27.367903130573954
66000.0,0,904,20.0,31.00447337628212
66000.0,24,996,20.0,31.230004856012197
66000.0,114,159,20.0,24.835109171146975
66000.0,99,1085,20.0,23.965414814762287
66000.0,131,949,20.0,27.703657283921352
66000.0,139,1836,20.0,24.17030522918892
66000.0,229,114,20.0,22.38872989935904
66000.0,229,1130,20.0,21.83961715563296
66000.0,203,994,20.0,25.682797657747216
66000.0,258,1791,20.0,23.8806185486373
66000.0,287,69,20.0,21.468980162880477
66000.0,365,1175,20.0,20.39717067194987
66000.0,375,205,20.0,25.627151961509753
66300.0,42,156,20.0,25.37460301462663
66300.0,42,1084,20.0,26.835734686363665
66300.0,42,1128,20.0,22.164663408896597
66300.0,49,1129,20.0,25.293829635343673
66300.0,49,201,20.0,28.72379627534865
66300.0,34,1083,20.0,22.962189177950453
66300.0,34,110,20.0,25.74223783998177
66300.0,31,1038,20.0,25.154958111714404
66300.0,7,947,20.0,27.080829577951125
66300.0,7,1833,20.0,24.771561180347064
66300.0,7,1832,20.0,28.428605607310146
66300.0,15,20,20.0,23.8297359588304
66300.0,15,948,20.0,30.5426132243021
66300.0,18,993,20.0,27.54772491056178
66300.0,21,65,20.0,24.372408094607906
66300.0,38,111,20.0,22.677409002966925
66300.0,62,1219,20.0,24.979573559816128
66300.0,62,246,20.0,31.93731622322752
66300.0,5,903,20.0,34.09018600383956
66300.0,53,1174,20.0,24.306276593917165
66300.0,0,902,20.0,30.09291860551159
66300.0,0,1787,20.0,29.4373232113655
66300.0,3,1788,20.0,26.1135385245126
66300.0,92,66,20.0,21.301284941731307
66300.0,80,992,20.0,24.685000942595618
66300.0,125,247,20.0,29.689143776297595
66300.0,184,202,20.0,26.230704106186476
66300.0,177,1173,20.0,21.159422981226243
66300.0,238,157,20.0,23.171559323095874
66300.0,213,21,20.0,21.074430274960008
66300.0,213,1037,20.0,21.92598354137372
66300.0,309,1218,20.0,21.73227702632794
66300.0,267,1834,20.0,21.870934319041517
66300.0,319,946,20.0,26.077238297875915
66600.0,42,1126,20.0,23.221129876704826
66600.0,42,153,20.0,26.5134746997817
66600.0,49,1127,20.0,27.222249798276255
66600.0,49,198,20.0,29.948623560404226
66600.0,49,1171,20.0,24.17814511305547
66600.0,34,108,20.0,24.66650045092792
66600.0,34,1081,20.0,22.77888063430441
66600.0,31,1036,20.0,23.94484024381409
66600.0,7,945,20.0,25.443391754553346
66600.0,7,1830,20.0,25.356205556516944
66600.0,45,154,20.0,24.338020310876182
66600.0,15,990,20.0,22.926571066796846
66600.0,15,17,20.0,26.078252180883638
66600.0,18,18,20.0,22.413350054608795
66600.0,18,991,20.0,26.367474719336286
66600.0,28,63,20.0,23.281025481370044
66600.0,23,1035,20.0,21.206878678217947
66600.0,62,244,20.0,30.338831135108922
66600.0,62,1217,20.0,28.423220562984394
66600.0,5,900,20.0,29.316005910243256
66600.0,53,199,20.0,27.047596850513795
66600.0,53,1172,20.0,27.665612435946475
66600.0,0,1785,20.0,25.548051842789384
66600.0,74,1831,20.0,22.17240754164234
66600.0,184,1216,20.0,25.174238158766098
66600.0,162,109,20.0,22.816358712224392
66600.0,156,1080,20.0,20.230790721559437
