ground_index,latitude_deg,longitude_deg,minimum_visible_satellites,mean_visible_satellites,maximum_visible_satellites,mean_minimum_slant_distance_km
306,43.0,133.0,4,5.333333333333333,7,573.5181182586806
307,43.0,135.0,4,5.166666666666667,7,574.537007340162
308,46.0,73.0,6,8.166666666666666,9,570.1943711862899
309,46.0,76.0,7,8.416666666666666,10,573.0817024891819
310,46.0,79.0,7,8.166666666666666,10,572.8829020714259
311,46.0,82.0,7,8.333333333333334,10,571.6014904952775
312,46.0,85.0,7,8.25,10,572.2212921305919
313,46.0,88.0,7,8.25,9,570.0203450805909
314,46.0,91.0,7,8.333333333333334,10,576.4693490429501
315,46.0,94.0,7,8.583333333333334,10,573.790156848431
316,46.0,97.0,7,8.25,10,575.8418333374946
317,46.0,100.0,7,8.333333333333334,9,571.1898415063812
